Filename,Full_Path,PC1,PC2,PC3
05_Snuff.mp3,data/userdata/05_Snuff.mp3,2.6739702940874945,-3.1732106863670295,-1.2583003194365736
"08_Beirut, Duo Version.mp3","data/userdata/08_Beirut, Duo Version.mp3",1.0491793397798974,0.21905845471467184,-3.127183549549534
02_Ramble On.mp3,data/userdata/02_Ramble On.mp3,-0.7506793594871052,-2.502492129635496,-3.7509292625216575
07_The Soldier.mp3,data/userdata/07_The Soldier.mp3,-5.207779535204577,-2.469360078631796,2.672955754192353
01_Is This Love.mp3,data/userdata/01_Is This Love.mp3,-1.223554819383618,3.901523372724278,-2.821771703024476
05_Got the Life.mp3,data/userdata/05_Got the Life.mp3,-6.85525409733979,-4.103743699956728,3.204905635617433
05_Mind Tricks.mp3,data/userdata/05_Mind Tricks.mp3,-6.815275747608507,-6.138871507269552,1.9412561411616431
09_Die Young.mp3,data/userdata/09_Die Young.mp3,-1.8347322196969218,-0.9303839111386439,-0.7741922983826405
04_Prelude in C Major.mp3,data/userdata/04_Prelude in C Major.mp3,6.984645853057415,-1.1930657707334327,4.348716519761672
09_Hot N Cold.mp3,data/userdata/09_Hot N Cold.mp3,-1.3838879137535811,2.3458696894422366,4.958102221565214
09_California Gurls.mp3,data/userdata/09_California Gurls.mp3,1.894297960335965,2.3750287234374787,1.6678042534847424
02_Black Dog.mp3,data/userdata/02_Black Dog.mp3,-0.006467475829696104,2.40226922212356,-0.4956900603414053
09_TiK ToK.mp3,data/userdata/09_TiK ToK.mp3,0.41401355485464025,3.357054098460929,2.204026386634856
03_Blue Jay Way.mp3,data/userdata/03_Blue Jay Way.mp3,2.4525976859176986,-0.7448760437358439,-1.2728988930354663
02_Get It On.mp3,data/userdata/02_Get It On.mp3,-5.935585202229512,-3.0568602078201006,1.199820287532535
04_Consolation No. 4.mp3,data/userdata/04_Consolation No. 4.mp3,9.824616013857113,-1.8197628385661921,3.2268910056923
03_Strawberry Fields Forever.mp3,data/userdata/03_Strawberry Fields Forever.mp3,1.9296901923590226,1.6737091465883225,-0.4902656078800591
